text,topic,stems
These are the things and events that happen when a sacred landslide election victory is so unceremoniously &amp; viciously stripped away from great patriots who have been badly &amp; unfairly treated for so long. Go home with love &amp; in peace. Remember this day forever!,Topic #1,"['thing', 'event', 'happen', 'sacr', 'landslid', 'elect', 'victori', 'unceremoni', 'amp', 'vicious', 'strip', 'away', 'great', 'patriot', 'badli', 'amp', 'unfairli', 'treat', 'long', 'go', 'home', 'love', 'amp', 'peac', 'rememb', 'day', 'forev']"
https://t.co/Pm2PKV0Fp3,Topic #2,['httpstcopm2pkv0fp3']
"I am asking for everyone at the U.S. Capitol to remain peaceful. No violence! Remember, WE are the Party of Law &amp; Order – respect the Law and our great men and women in Blue. Thank you!",Topic #1,"['ask', 'everyon', 'us', 'capitol', 'remain', 'peac', 'violenc', 'rememb', 'parti', 'law', 'amp', 'order', 'respect', 'law', 'great', 'men', 'women', 'blue', 'thank']"
Please support our Capitol Police and Law Enforcement. They are truly on the side of our Country. Stay peaceful!,Topic #4,"['pleas', 'support', 'capitol', 'polic', 'law', 'enforc', 'truli', 'side', 'countri', 'stay', 'peac']"
"Mike Pence didn’t have the courage to do what should have been done to protect our Country and our Constitution, giving States a chance to certify a corrected set of facts, not the fraudulent or inaccurate ones which they were asked to previously certify. USA demands the truth!",Topic #1,"['mike', 'penc', 'didnt', 'courag', 'done', 'protect', 'countri', 'constitut', 'give', 'state', 'chanc', 'certifi', 'correct', 'set', 'fact', 'fraudul', 'inaccur', 'one', 'ask', 'previous', 'certifi', 'usa', 'demand', 'truth']"
https://t.co/izItBeFE6G,Topic #1,['httpstcoizitbefe6g']
These scoundrels are only toying with the @sendavidperdue (a great guy) vote. Just didn’t want to announce quite yet. They’ve got as many ballots as are necessary. Rigged Election!,Topic #1,"['scoundrel', 'toy', 'sendavidperdu', 'great', 'guy', 'vote', 'didnt', 'want', 'announc', 'quit', 'yet', 'theyv', 'got', 'mani', 'ballot', 'necessari', 'rig', 'elect']"
Even Mexico uses Voter I.D.,Topic #1,"['even', 'mexico', 'use', 'voter', 'id']"
The States want to redo their votes. They found out they voted on a FRAUD. Legislatures never approved. Let them do it. BE STRONG!,Topic #1,"['state', 'want', 'redo', 'vote', 'found', 'vote', 'fraud', 'legislatur', 'never', 'approv', 'let', 'strong']"
"They just happened to find 50,000 ballots late last night. The USA is embarrassed by fools. Our Election Process is worse than that of third world countries!",Topic #1,"['happen', 'find', '50000', 'ballot', 'late', 'last', 'night', 'usa', 'embarrass', 'fool', 'elect', 'process', 'wors', 'third', 'world', 'countri']"
"THE REPUBLICAN PARTY AND, MORE IMPORTANTLY, OUR COUNTRY, NEEDS THE PRESIDENCY MORE THAN EVER BEFORE - THE POWER OF THE VETO. STAY STRONG!",Topic #1,"['republican', 'parti', 'importantli', 'countri', 'need', 'presid', 'ever', 'power', 'veto', 'stay', 'strong']"
"States want to correct their votes, which they now know were based on irregularities and fraud, plus corrupt process never received legislative approval.  All Mike Pence has to do is send them back to the States, AND WE WIN. Do it Mike, this is a time for extreme courage!",Topic #1,"['state', 'want', 'correct', 'vote', 'know', 'base', 'irregular', 'fraud', 'plu', 'corrupt', 'process', 'never', 'receiv', 'legisl', 'approv', 'mike', 'penc', 'send', 'back', 'state', 'win', 'mike', 'time', 'extrem', 'courag']"
Sleepy Eyes Chuck Todd is so happy with the fake voter tabulation process that he can’t even get the words out straight. Sad to watch!,Topic #1,"['sleepi', 'eye', 'chuck', 'todd', 'happi', 'fake', 'voter', 'tabul', 'process', 'cant', 'even', 'get', 'word', 'straight', 'sad', 'watch']"
"If Vice President @Mike_Pence comes through for us, we will win the Presidency. Many States want to decertify the mistake they made in certifying incorrect &amp; even fraudulent numbers in a process  NOT approved by their State Legislatures (which it must be). Mike can send it back!",Topic #1,"['vice', 'presid', 'mikep', 'come', 'us', 'win', 'presid', 'mani', 'state', 'want', 'decertifi', 'mistak', 'made', 'certifi', 'incorrect', 'amp', 'even', 'fraudul', 'number', 'process', 'approv', 'state', 'legislatur', 'must', 'mike', 'send', 'back']"
Get smart Republicans. FIGHT! https://t.co/3fs1oPVnAx,Topic #1,"['get', 'smart', 'republican', 'fight', 'httpstco3fs1opvnax']"
Just happened to have found another 4000 ballots from Fulton County. Here we go!,Topic #1,"['happen', 'found', 'anoth', '4000', 'ballot', 'fulton', 'counti', 'go']"
Looks like they are setting up a big “voter dump” against the Republican candidates. Waiting to see how many votes they need?,Topic #1,"['look', 'like', 'set', 'big', 'voter', 'dump', 'republican', 'candid', 'wait', 'see', 'mani', 'vote', 'need']"
BIG NEWS IN PENNSYLVANIA! https://t.co/7JqTWYUgOr,Topic #1,"['big', 'news', 'pennsylvania', 'httpstco7jqtwyugor']"
I will be speaking at the SAVE AMERICA RALLY tomorrow on the Ellipse at 11AM Eastern. Arrive early — doors open at 7AM Eastern. BIG CROWDS! https://t.co/k4blXESc0c,Topic #3,"['speak', 'save', 'america', 'ralli', 'tomorrow', 'ellips', '11am', 'eastern', 'arriv', 'earli', 'door', 'open', '7am', 'eastern', 'big', 'crowd', 'httpstcok4blxesc0c']"
"Antifa is a Terrorist Organization, stay out of Washington. Law enforcement is watching you very closely! @DeptofDefense @TheJusticeDept @DHSgov @DHS_Wolf @SecBernhardt @SecretService @FBI",Topic #4,"['antifa', 'terrorist', 'organ', 'stay', 'washington', 'law', 'enforc', 'watch', 'close', 'deptofdefens', 'thejusticedept', 'dhsgov', 'dhswolf', 'secbernhardt', 'secretservic', 'fbi']"
"I hope the Democrats, and even more importantly, the weak and ineffective RINO section of the Republican Party, are looking at the thousands of people pouring into D.C. They won’t stand for a landslide election victory to be stolen. @senatemajldr @JohnCornyn @SenJohnThune",Topic #1,"['hope', 'democrat', 'even', 'importantli', 'weak', 'ineffect', 'rino', 'section', 'republican', 'parti', 'look', 'thousand', 'peopl', 'pour', 'dc', 'wont', 'stand', 'landslid', 'elect', 'victori', 'stolen', 'senatemajldr', 'johncornyn', 'senjohnthun']"
"Washington is being inundated with people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they won’t take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!",Topic #1,"['washington', 'inund', 'peopl', 'dont', 'want', 'see', 'elect', 'victori', 'stolen', 'embolden', 'radic', 'left', 'democrat', 'countri', 'enough', 'wont', 'take', 'anymor', 'hear', 'love', 'oval', 'offic', 'make', 'america', 'great']"
